interest,skill_level,course,project,career,difficulty,relevance,skills,description,youtube_url,github_url
Machine Learning,Beginner,Python for Machine Learning,Student Performance Predictor,Machine Learning Engineer,Beginner,95,Python,"Learn Python concepts required for machine learning.",https://www.youtube.com/watch?v=rfscVS0vtbw,https://github.com/naomilago/Student-Performance-Predictor
Machine Learning,Beginner,Statistics for Data Science,Iris Flower Classification,Machine Learning Engineer,Beginner,90,Statistics,"Learn statistics required for machine learning and data analysis.",https://www.youtube.com/watch?v=xxpc-HPKN28,https://github.com/itzdineshx/Iris-flower-classification
Machine Learning,Beginner,Introduction to Machine Learning,House Price Prediction,Machine Learning Engineer,Beginner,88,Machine Learning,"Understand the fundamental concepts of machine learning.",https://www.youtube.com/watch?v=7eh4d6sabA0,https://github.com/ageron/handson-ml3
Machine Learning,Intermediate,Advanced Machine Learning,Movie Recommendation System,Machine Learning Engineer,Intermediate,96,Machine Learning,"Learn advanced machine learning algorithms and practical techniques.",https://www.youtube.com/watch?v=GWFC2_9_iVk,https://github.com/ankitrajsh/Movies-Recommendation-System
Machine Learning,Intermediate,Feature Engineering,Customer Churn Prediction,Machine Learning Engineer,Intermediate,92,Feature Engineering,"Learn how to create meaningful features from raw data.",https://www.youtube.com/watch?v=6WDFfaYtN6s,https://github.com/sujitkar/Customer-Churn-Prediction
Machine Learning,Intermediate,Model Evaluation & Optimization,Loan Approval Prediction,Machine Learning Engineer,Intermediate,88,Model Evaluation,"Learn how to evaluate and optimize machine learning models.",https://www.youtube.com/watch?v=HdlDYng8g9s,https://github.com/topics/loan-approval-prediction
Machine Learning,Advanced,Deep Learning,Image Classification System,AI Engineer,Advanced,97,Deep Learning,"Learn neural networks and deep learning techniques.",https://www.youtube.com/watch?v=aircAruvnKk,https://github.com/topics/image-classification
Machine Learning,Advanced,Natural Language Processing,Text Classification System,AI Engineer,Advanced,94,NLP,"Learn techniques for processing and understanding human language.",https://www.youtube.com/watch?v=fOvTtapxa9c,https://github.com/topics/text-classification
Machine Learning,Advanced,MLOps,End-to-End ML Deployment,ML Engineer,Advanced,91,MLOps,"Learn how to deploy, monitor and maintain machine learning systems.",https://www.youtube.com/watch?v=0sOvCWFmrtA,https://github.com/topics/mlops
Artificial Intelligence,Beginner,Python for AI,AI Chatbot,AI Engineer,Beginner,94,Python,"Learn Python programming concepts required for artificial intelligence.",https://www.youtube.com/watch?v=rfscVS0vtbw,https://github.com/topics/python-chatbot
