id,name,type,youtube_url,free_course_url,paid_course_url,project_url
1,Python for Machine Learning,course,https://www.youtube.com/results?search_query=python+for+machine+learning+full+course,https://www.kaggle.com/learn/python,https://www.udemy.com/courses/search/?q=python%20machine%20learning,https://www.youtube.com/results?search_query=python+machine+learning+project+tutorial
2,Statistics for Data Science,course,https://www.youtube.com/results?search_query=statistics+for+data+science+full+course,https://www.khanacademy.org/math/statistics-probability,https://www.coursera.org/search?query=statistics%20for%20data%20science,https://www.youtube.com/results?search_query=statistics+data+science+project
3,Introduction to Machine Learning,course,https://www.youtube.com/results?search_query=machine+learning+beginner+full+course,https://developers.google.com/machine-learning/intro-to-ml,https://www.coursera.org/search?query=introduction%20to%20machine%20learning,https://www.youtube.com/results?search_query=machine+learning+beginner+projects+python
4,Advanced Machine Learning,course,https://www.youtube.com/results?search_query=advanced+machine+learning+full+course,https://developers.google.com/machine-learning/crash-course,https://www.coursera.org/search?query=advanced%20machine%20learning,https://www.youtube.com/results?search_query=advanced+machine+learning+project
5,Feature Engineering,course,https://www.youtube.com/results?search_query=feature+engineering+machine+learning+full+course,https://www.kaggle.com/learn/feature-engineering,https://www.udemy.com/courses/search/?q=feature%20engineering%20machine%20learning,https://www.youtube.com/results?search_query=feature+engineering+machine+learning+project
6,Model Evaluation & Optimization,course,https://www.youtube.com/results?search_query=machine+learning+model+evaluation+hyperparameter+tuning,https://scikit-learn.org/stable/model_selection.html,https://www.udemy.com/courses/search/?q=machine%20learning%20model%20optimization,https://www.youtube.com/results?search_query=model+evaluation+optimization+machine+learning+project
7,Deep Learning,course,https://www.youtube.com/results?search_query=deep+learning+full+course+freeCodeCamp,https://www.kaggle.com/learn/intro-to-deep-learning,https://www.coursera.org/search?query=deep%20learning,https://www.youtube.com/results?search_query=deep+learning+image+classification+project
8,Natural Language Processing,course,https://www.youtube.com/results?search_query=natural+language+processing+NLP+full+course+python,https://www.kaggle.com/learn/natural-language-processing,https://www.coursera.org/search?query=natural%20language%20processing,https://www.youtube.com/results?search_query=NLP+text+classification+project+python
9,MLOps,course,https://www.youtube.com/results?search_query=MLOps+full+course+machine+learning+deployment,https://developers.google.com/machine-learning/crash-course/production-ml-systems,https://www.udemy.com/courses/search/?q=MLOps,https://www.youtube.com/results?search_query=MLOps+end+to+end+machine+learning+project
10,Python for AI,course,https://www.youtube.com/results?search_query=python+for+artificial+intelligence+full+course,https://cs50.harvard.edu/ai/2024/,https://www.coursera.org/search?query=python%20artificial%20intelligence,https://www.youtube.com/results?search_query=Python+AI+project+tutorial
11,Generative AI,course,https://www.youtube.com/results?search_query=generative+AI+LLM+full+course,https://www.deeplearning.ai/courses/generative-ai-with-llms/,https://www.coursera.org/search?query=generative%20AI,https://www.youtube.com/results?search_query=generative+AI+LLM+project+python
12,Python for Data Science,course,https://www.youtube.com/results?search_query=python+for+data+science+full+course,https://www.kaggle.com/learn/python,https://www.coursera.org/search?query=python%20for%20data%20science,https://www.youtube.com/results?search_query=python+data+science+project
13,Data Visualization,course,https://www.youtube.com/results?search_query=data+visualization+python+full+course,https://www.kaggle.com/learn/data-visualization,https://www.coursera.org/search?query=data%20visualization,https://www.youtube.com/results?search_query=data+visualization+dashboard+project
14,Advanced Analytics,course,https://www.youtube.com/results?search_query=advanced+analytics+data+science+full+course,https://www.kaggle.com/learn,https://www.coursera.org/search?query=advanced%20analytics,https://www.youtube.com/results?search_query=advanced+analytics+data+science+project
15,HTML & CSS,course,https://www.youtube.com/results?search_query=HTML+CSS+full+course+freeCodeCamp,https://www.freecodecamp.org/learn/2022/responsive-web-design/,https://www.udemy.com/courses/search/?q=html%20css,https://www.youtube.com/results?search_query=HTML+CSS+portfolio+project
16,JavaScript,course,https://www.youtube.com/results?search_query=JavaScript+full+course+freeCodeCamp,https://fullstackopen.com/en/,https://www.udemy.com/courses/search/?q=javascript,https://www.youtube.com/results?search_query=JavaScript+ecommerce+project
17,Flask Web Development,course,https://www.youtube.com/results?search_query=Flask+Python+web+development+full+course,https://flask.palletsprojects.com/en/stable/tutorial/,https://www.udemy.com/courses/search/?q=flask%20python,https://www.youtube.com/results?search_query=Flask+learning+management+system+project
18,Python Fundamentals,course,https://www.youtube.com/results?search_query=Python+full+course+freeCodeCamp,https://www.freecodecamp.org/learn/scientific-computing-with-python/,https://www.udemy.com/courses/search/?q=python%20programming,https://www.youtube.com/results?search_query=Python+automation+project
